.threshold,specificity,sensitivity
-Inf,0,1
1.3033705654660904e-4,0,1
2.3980692870292965e-4,5.5897149245388485e-5,1
2.405543776945011e-4,1.1179429849077697e-4,1
2.551999178728604e-4,1.6769144773616545e-4,1
3.526451958078411e-4,2.2358859698155394e-4,1
3.6051143470385916e-4,2.7948574622694243e-4,1
3.964630701633268e-4,3.353828954723309e-4,1
4.0495889389646685e-4,3.912800447177194e-4,1
4.10142421888235e-4,4.471771939631079e-4,1
4.1617790590997106e-4,5.030743432084964e-4,1
4.2345595814682576e-4,5.589714924538849e-4,1
4.59533233565164e-4,6.148686416992733e-4,1
4.892209809874934e-4,6.707657909446618e-4,1
5.6932592976919e-4,7.266629401900503e-4,1
5.746984814826308e-4,7.825600894354388e-4,1
6.146284946091133e-4,8.384572386808273e-4,1
6.2247017513254e-4,8.943543879262158e-4,1
6.314271130608477e-4,9.502515371716042e-4,1
6.461042470144295e-4,0.0010061486864169928,1
7.256557038753293e-4,0.0010620458356623813,1
7.963725771065372e-4,0.0011179429849077697,1
8.40133556909432e-4,0.0011738401341531582,1
8.418502465100247e-4,0.0012297372833985467,1
8.458611873875692e-4,0.0012856344326439351,1
8.541692258873897e-4,0.0013415315818893236,1
8.562630920736074e-4,0.001397428731134712,1
8.567003579093604e-4,0.0014533258803801005,1
8.619275306128556e-4,0.0015092230296254892,1
8.731678812979563e-4,0.0015651201788708777,1
8.732861816745802e-4,0.0016210173281162661,1
8.738707654335049e-4,0.0016769144773616546,1
9.06008481539812e-4,0.001732811626607043,1
9.365968165530158e-4,0.0017887087758524315,1
9.481210831080837e-4,0.00184460592509782,1
9.652470471675581e-4,0.0019005030743432085,1
0.0010027963747439405,0.001956400223588597,1
0.0010110659195230684,0.0020122973728339856,1
0.0010805460056781517,0.002068194522079374,1
0.00108363392585111,0.0021240916713247625,1
0.0010947364890384341,0.0021799888205701508,1
0.0010990786851314324,0.0022358859698155395,1
0.001109948067110245,0.0022917831190609277,1
0.0011282840203808832,0.0023476802683063164,1
